[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] UDP  | 192.168.146.1:58124 --> 224.0.0.252:5355
[2026-06-01 10:16:30] UDP  | 192.168.146.1:50840 --> 224.0.0.252:5355
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:30] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] UDP  | 192.168.146.1:50840 --> 224.0.0.252:5355
[2026-06-01 10:16:30] UDP  | 192.168.146.1:58124 --> 224.0.0.252:5355
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:30] TCP  | 192.168.146.128:50032 --> 34.107.243.93:443
[2026-06-01 10:16:30] TCP  | 34.107.243.93:443 --> 192.168.146.128:50032
[2026-06-01 10:16:30] UDP  | 192.168.146.128:44059 --> 192.168.146.2:53
[2026-06-01 10:16:30] UDP  | 192.168.146.128:52132 --> 192.168.146.2:53
[2026-06-01 10:16:30] UDP  | 192.168.146.128:52132 --> 192.168.146.2:53
